																					
Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	3	81,271																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	4	147,155																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	5	115,213																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	6	108,501																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	7	80,708																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	8	51,537																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	9	30,125																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	10	55,311																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	11	36,458																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	12	46,100																		
